,level_0,index,ID,Name,RA,DEC,Obj. Type,Redshift,Host Name,Host Redshift,Reporting Group/s,Discovery Data Source/s,Classifying Group/s,Associated Group/s,Disc. Internal Name,Disc. Instrument/s,Class. Instrument/s,TNS AT,Public,End Prop. Period,Discovery Mag/Flux,Discovery Filter,Discovery Date (UT),Sender,Remarks,Ext. catalog/s,Sector
0,5,39,29346,SN 2018fub,00:40:30.760,-50:41:15.36,SN Ia,0.0288,2MASX J00403068-5041153,,"ASAS-SN, GaiaAlerts","ASAS-SN, GaiaAlerts",None,ASAS-SN; GaiaAlerts,ASASSN-18ty,"ASASSN-3 - Paczynski, Gaia - Gaia-photometric",SOAR - Goodman,1,1,,17.3,g-Sloan,2018-09-05 06:14:24.000,Stanek,,,2
1,10,84,70472,SN 2020zbo,03:22:16.063,-33:49:17.95,SN Ia,0.0432699999999999,WISEA J032216.20-334917.9,,"ASAS-SN, ATLAS","ASAS-SN, ATLAS",Global SN Project,ASAS-SN; ATLAS,ASASSN-20nv,"ASASSN-2 - Cassius, ASASSN-3 - Paczynski, ATLAS1 - ACAM1",FTN - FLOYDS-N,1,1,,17.0,g-Sloan,2020-11-06 06:43:12.000,Vallely,,,31
2,13,101,29028,SN 2018fhw,04:18:06.200,-63:36:56.41,SN Ia,0.017,2MASX J04180598-6336523,,"ASAS-SN, GaiaAlerts, OGLE","ASAS-SN, GaiaAlerts, OGLE",None,ASAS-SN; GaiaAlerts; OGLE,ASASSN-18tb,"ASASSN-2 - Cassius, Gaia - Gaia-photometric, OGLE-1.3m - OGLEIV-Cam",SALT - RSS,1,1,,16.8,V-Johnson,2018-08-21 07:26:24.000,Vallely,,,1
3,14,103,28747,SN 2018exc,21:00:08.018,-40:21:30.94,SN Ia,0.057,,,ATLAS,ATLAS,ePESSTO,ATLAS,ATLAS18tne,ATLAS1 - ACAM1,ESO-NTT - EFOSC2-NTT,1,1,,17.869,cyan-ATLAS,2018-08-11 10:13:26.000,ATLAS_Bot1,,,1
4,17,141,58415,SN 2020hvq,16:46:34.860,+62:49:36.80,SN Ia,0.019043,,,"ATLAS, ZTF, GaiaAlerts, Pan-STARRS1","ATLAS, ZTF, GaiaAlerts, Pan-STARRS1","None, ZTF",ATLAS; GaiaAlerts; Pan-STARRS1; ZTF,ATLAS20kts,"ATLAS1 - ACAM1, Gaia - Gaia-photometric, P48 - ZTF-Cam, PS1 - GPC1","Other - Other, P60 - SEDM",1,1,,17.348,cyan-ATLAS,2020-04-21 13:24:57.600,ATLAS_Bot1,,,24
5,18,146,30851,SN 2018hzh,04:07:12.870,-37:03:10.44,SN Ia,0.035,,,"ATLAS, GaiaAlerts","ATLAS, GaiaAlerts",ASAS-SN,ATLAS; GaiaAlerts,ATLAS18yik,"ATLAS1 - ACAM1, Gaia - Gaia-photometric",SALT - RSS,1,1,,17.754,orange-ATLAS,2018-11-05 12:48:57.000,ATLAS_Bot1,,,4
6,30,248,57899,SN 2020hdw,16:00:51.990,+56:21:09.00,SN Ia,0.06,,,"ZTF, GaiaAlerts","ZTF, GaiaAlerts",ZTF,GaiaAlerts; ZTF,ZTF18aaoxrup,"Gaia - Gaia-photometric, P48 - ZTF-Cam",P60 - SEDM,1,1,,17.46,r-ZTF,2020-04-14 10:39:20.736,ZTF_AMPEL_COMPLETE,,,23
7,32,277,66600,SN 2020tld,00:29:41.590,-51:32:09.60,SN Ia,0.011201,ESO 194- G 021,0.011201,"ASAS-SN, GaiaAlerts","ASAS-SN, GaiaAlerts",Global SN Project,ASAS-SN; GaiaAlerts,ASASSN-20ls,"ASASSN-5 - Payne-Gaposchkin, Gaia - Gaia-photometric",FTS - FLOYDS-S,1,1,,17.0,g-Sloan,2020-09-15 23:45:36.000,Stanek,,,29
8,33,309,51543,SN 2020bj,16:58:25.350,+68:13:56.71,SN Ia,0.05,WISEA J165825.34+681357.4,,"ALeRCE, ZTF, ATLAS, GaiaAlerts","ZTF, ATLAS, GaiaAlerts",ZTF,ATLAS; GaiaAlerts; ZTF,ZTF20aabqiti,"ATLAS1 - ACAM1, Gaia - Gaia-photometric, P48 - ZTF-Cam",P60 - SEDM,1,1,,17.799,r-ZTF,2020-01-02 12:17:00.000,ALeRCE,,,20
9,35,321,38522,SN 2019gqv,07:50:19.060,-72:52:35.26,SN Ia,0.017,ESO 035- G 017,0.017549,"ASAS-SN, GaiaAlerts","ASAS-SN, GaiaAlerts",None,ASAS-SN; GaiaAlerts,ASASSN-19ny,"ASASSN-3 - Paczynski, ASASSN-5 - Payne-Gaposchkin, Gaia - Gaia-photometric",SOAR - Goodman,1,1,,16.7,g-Sloan,2019-06-01 17:45:36.000,Stanek,,,12
